;Prioritization;Algorithm;NBS;NBS Rank;SRBS;SRBS Rank;WRBS;WRBS Rank;IWRBS;IWRBS Rank;Avg. Size;Avg. Time;Avg. Coverage;Avg. Similarity;Avg. Memory;Avg. Normalized Size;Avg. Normalized Time;Avg. Normalized Memory;NBS Subscore Size;NBS Subscore Time;NBS Subscore Coverage;NBS Subscore Similarity;NBS Subscore Memory;SRBS Subscore Size;SRBS Subscore Time;SRBS Subscore Coverage;SRBS Subscore Similarity;SRBS Subscore Memory;WRBS Subscore Size;WRBS Subscore Time;WRBS Subscore Coverage;WRBS Subscore Similarity;WRBS Subscore Memory;IWRBS Subscore Size;IWRBS Subscore Time;IWRBS Subscore Coverage;IWRBS Subscore Similarity;IWRBS Subscore Memory
10;[S-16,T-1,C-1,Sim-1,M-1];Incling_t2;19.24847954989407;;56.0;;189.7537818969028;;24.748362587245765;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
11;[S-16,T-1,C-1,Sim-1,M-1];YASA_t2_m1;19.547842625967064;;21.0;;20.002352796117563;;742.6791643321982;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
12;[S-21,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;50.0;;746.0282779646518;;27.15063093985978;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
13;[S-21,T-1,C-1,Sim-1,M-1];Incling_t2;24.226093041412327;;71.0;;195.25203175645944;;29.748362587245765;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
14;[S-21,T-1,C-1,Sim-1,M-1];YASA_t2_m1;24.52742716700065;;26.0;;25.002352796117563;;748.1774141917548;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
15;[S-26,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;60.0;;751.0307164319363;;32.64620064602887;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
16;[S-26,T-1,C-1,Sim-1,M-1];Incling_t2;29.203706532930585;;86.0;;200.75028161601608;;34.748362587245765;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
17;[S-26,T-1,C-1,Sim-1,M-1];YASA_t2_m1;29.507011708034234;;31.0;;30.002352796117563;;753.6756640513115;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
18;[S-31,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;70.0;;756.0331548992207;;38.14177035219796;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
19;[S-31,T-1,C-1,Sim-1,M-1];Incling_t2;34.181320024448844;;101.0;;206.24853147557272;;39.748362587245765;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
